seed,weather,scrap_count,total_scrap_value,goldbar_only,item_1001_count,item_1002_count,item_152767_count
439,None,22,924,0,5,16,1
440,Rainy,17,936,0,6,9,2
441,None,22,1008,0,5,16,1
442,Stormy,18,821,0,7,8,3
443,None,22,1001,0,7,15,0
444,Stormy,18,755,0,4,14,0
445,Foggy,23,1079,0,2,19,2
446,None,19,909,0,3,15,1
447,Foggy,23,1099,0,4,17,2
448,None,19,1113,0,4,11,4
449,Foggy,24,1310,0,9,14,1
450,None,19,847,0,9,10,0
451,Foggy,24,1349,0,5,16,3
452,None,20,966,0,4,15,1
453,Foggy,24,1095,0,6,17,1
454,None,20,852,0,4,16,0
455,Rainy,16,906,0,5,9,2
456,None,21,1157,0,4,15,2
457,Rainy,16,761,0,9,7,0
458,None,21,1169,0,8,11,2
459,Rainy,17,854,0,4,13,0
460,None,21,1270,0,8,12,1
461,Rainy,17,726,0,4,13,0
462,None,22,1024,0,6,14,2
463,Rainy,17,917,0,3,12,2
464,None,22,1371,0,6,12,4
465,Stormy,18,918,0,4,13,1
466,Foggy,23,922,0,0,23,0
467,Stormy,18,861,0,4,12,2
468,Foggy,23,1124,0,4,18,1
469,None,19,883,0,8,11,0
470,Foggy,23,1046,0,6,17,0
471,None,19,892,0,5,13,1
472,Foggy,24,1312,0,7,14,3
473,None,20,860,0,4,15,1
474,Foggy,24,1352,0,7,16,1
475,None,20,772,0,4,16,0
476,Foggy,16,749,0,2,13,1
477,None,20,826,0,3,17,0
478,Rainy,16,793,0,4,11,1
479,None,21,1078,0,6,13,2
480,Rainy,16,796,0,5,10,1
481,None,21,925,0,5,16,0
482,Rainy,17,877,0,8,9,0
483,None,22,888,0,0,22,0
484,Rainy,17,863,0,1,15,1
485,None,22,909,0,6,16,0
486,Stormy,18,1019,0,5,11,2
487,None,22,949,0,5,17,0
488,Stormy,18,897,0,4,12,2
489,Foggy,23,1104,0,9,13,1
490,Stormy,18,948,0,5,13,0
491,Foggy,23,986,0,9,14,0
492,None,19,841,0,6,13,0
493,Foggy,24,1280,0,6,14,4
494,None,19,794,0,3,16,0
495,Foggy,24,1200,0,6,17,1
496,None,20,1021,0,4,14,2
497,Foggy,24,1099,0,8,16,0
498,None,20,983,0,7,12,1
499,Rainy,16,785,0,5,10,1
500,None,20,1037,0,6,13,1
501,Rainy,16,900,0,4,11,1
502,None,21,1149,0,8,12,1
503,Rainy,17,757,0,0,16,1
504,None,21,1166,0,5,14,2
505,Rainy,17,907,0,5,11,1
506,None,22,911,0,3,19,0
507,Rainy,17,876,0,5,12,0
508,None,22,1011,0,5,17,0
509,Stormy,18,869,0,5,12,1
510,None,22,1055,0,2,19,1
511,Stormy,18,797,0,6,12,0
512,Foggy,23,1238,0,7,14,2
513,None,19,905,0,4,14,1
514,Foggy,23,992,0,5,17,1
515,None,19,975,0,6,12,1
516,Foggy,24,1097,0,2,19,3
517,None,19,779,0,4,15,0
518,Foggy,24,1228,0,9,13,2
519,None,20,956,0,4,13,3
520,Foggy,24,1210,0,6,17,1
521,None,20,968,0,5,14,1
522,Rainy,16,837,0,5,8,3
523,None,21,1015,0,5,15,1
524,Rainy,16,1729,1,0,0,16
525,None,21,1060,0,3,16,2
526,Rainy,17,930,0,3,12,2
527,None,21,911,0,4,17,0
528,Rainy,17,940,0,4,12,1
529,None,22,1272,0,5,11,6
530,Rainy,18,854,0,4,14,0
531,None,22,1399,0,11,9,2
532,Stormy,18,848,0,5,13,0
533,Foggy,23,1024,0,4,18,1
534,Stormy,18,818,0,5,12,1
535,Foggy,23,1317,0,7,13,3
536,None,19,890,0,4,15,0
537,Foggy,23,1010,0,6,16,1
538,None,19,830,0,5,14,0
539,Foggy,24,1440,0,5,15,4
540,None,20,891,0,7,13,0
541,Foggy,24,989,0,0,24,0
542,None,20,991,0,8,11,1
543,Foggy,16,734,0,2,13,1
544,None,20,955,0,4,15,1
545,Rainy,16,823,0,2,12,2
546,None,21,1049,0,3,16,2
547,Rainy,16,916,0,6,9,1
548,None,21,1091,0,5,14,2
549,Rainy,17,970,0,4,12,1
550,None,22,995,0,6,16,0
551,Rainy,17,821,0,4,12,1
552,None,22,1157,0,6,15,1
553,Stormy,18,909,0,5,12,1
554,None,22,952,0,7,15,0
555,Stormy,18,881,0,6,11,1
556,Foggy,23,1022,0,7,16,0
557,None,18,789,0,3,15,0
558,Foggy,23,945,0,0,23,0
559,None,19,732,0,3,16,0
560,Foggy,24,1251,0,4,17,3
561,None,19,1086,0,6,11,2
562,Foggy,24,1199,0,9,13,2
563,None,20,971,0,4,15,1
564,Foggy,24,1170,0,7,16,1
565,None,20,897,0,6,13,1
566,Rainy,16,839,0,3,12,1
567,None,20,842,0,5,15,0
568,Rainy,16,711,0,3,13,0
569,None,21,1129,0,11,9,1
570,Rainy,17,908,0,5,11,1
571,None,21,1012,0,7,14,0
572,Rainy,17,934,0,6,10,1
573,None,22,977,0,4,18,0
574,Rainy,17,854,0,3,14,0
575,None,22,996,0,2,19,1
576,Stormy,18,1054,0,4,11,3
577,Foggy,22,1189,0,6,14,2
578,Stormy,18,879,0,7,11,0
579,Foggy,23,1063,0,4,17,2
580,None,19,1007,0,3,14,2
581,Foggy,23,1264,0,4,17,2
582,None,19,926,0,6,13,0
583,Foggy,24,1118,0,2,20,2
584,None,19,936,0,8,11,0
585,Foggy,24,1139,0,6,17,1
586,None,20,1061,0,3,14,3
587,Foggy,16,849,0,3,12,1
588,None,20,1040,0,8,12,0
589,Rainy,16,763,0,1,14,1
590,None,21,1001,0,2,18,1
591,Rainy,16,743,0,5,10,1
592,None,21,1088,0,6,14,1
593,Rainy,17,927,0,5,11,1
594,None,21,821,0,6,15,0
595,Rainy,17,888,0,7,10,0
596,None,22,960,0,4,18,0
597,Rainy,18,800,0,0,17,1
598,None,22,1146,0,7,14,1
599,Stormy,18,781,0,6,11,1
600,Foggy,23,1302,0,7,14,2
601,Stormy,18,849,0,5,12,1
602,Foggy,23,1092,0,7,14,2
603,None,19,841,0,4,15,0
604,Foggy,23,1238,0,6,15,2
605,None,19,882,0,5,13,1
606,Foggy,24,1339,0,6,16,2
607,None,20,1003,0,8,12,0
608,Foggy,24,1096,0,6,16,2
609,None,20,965,0,3,15,2
610,Foggy,16,647,0,2,14,0
611,None,20,1069,0,7,12,1
612,Rainy,16,821,0,4,11,1
613,None,21,989,0,5,16,0
614,Rainy,16,868,0,7,9,0
615,None,21,1066,0,6,15,0
616,Rainy,17,703,0,0,17,0
617,None,22,920,0,3,17,2
618,Rainy,17,1006,0,6,9,2
619,None,22,1154,0,5,16,1
620,Stormy,18,857,0,4,14,0
621,None,22,1127,0,6,13,3
622,Stormy,18,969,0,4,12,2
623,Foggy,23,1376,0,5,15,3
624,None,18,967,0,7,9,2
625,Foggy,23,949,0,5,18,0
626,None,19,1005,0,4,13,2
627,Foggy,24,1070,0,6,18,0
628,None,19,870,0,4,15,0
629,Foggy,24,1317,0,7,13,4
630,None,20,922,0,5,14,1
631,Foggy,24,1275,0,6,15,3
632,None,20,910,0,2,17,1
633,Rainy,16,640,0,0,16,0
634,None,21,1162,0,6,13,2
635,Rainy,16,710,0,5,10,1
636,None,21,1231,0,4,13,4
637,Rainy,17,891,0,3,12,2
638,None,21,1113,0,8,10,3
639,Rainy,17,678,0,2,15,0
640,None,22,914,0,3,17,2
641,Rainy,17,831,0,6,10,1
642,None,22,1349,0,7,11,4
643,Stormy,18,920,0,6,11,1
644,Foggy,23,1124,0,9,13,1
645,Stormy,18,995,0,8,10,0
646,Foggy,23,1062,0,7,15,1
647,None,19,892,0,3,15,1
648,Foggy,23,1010,0,5,17,1
649,None,19,833,0,5,13,1
650,Foggy,24,985,0,0,24,0
651,None,19,820,0,4,15,0
652,Foggy,24,1343,0,7,11,6
653,None,20,1106,0,7,11,2
654,Foggy,16,648,0,4,12,0
655,None,20,862,0,5,15,0
656,Rainy,16,771,0,6,9,1
657,None,21,955,0,3,17,1
658,Rainy,16,748,0,2,12,2
659,None,21,1400,0,5,12,4
660,Rainy,17,801,0,4,13,0
661,None,21,1191,0,7,13,1
662,Rainy,17,714,0,3,14,0
663,None,22,937,0,4,17,1
664,Stormy,18,1086,0,9,8,1
665,None,22,1125,0,6,15,1
666,Stormy,18,737,0,2,16,0
667,Foggy,23,1158,0,6,16,1
668,Stormy,18,944,0,6,11,1
669,Foggy,23,1148,0,2,20,1
670,None,19,836,0,3,16,0
671,Foggy,23,1013,0,7,15,1
672,None,19,1155,0,3,11,5
673,Foggy,24,1253,0,1,19,4
674,None,20,945,0,5,13,2
675,Foggy,24,1130,0,11,13,0
676,None,20,1049,0,8,10,2
677,Foggy,16,661,0,4,12,0
678,None,20,977,0,8,12,0
679,Rainy,16,777,0,2,12,2
680,None,21,991,0,2,18,1
681,Rainy,16,830,0,7,8,1
682,None,21,924,0,6,14,1
683,Rainy,17,912,0,9,8,0
684,None,22,1070,0,8,14,0
685,Rainy,17,757,0,4,13,0
686,None,22,1056,0,4,17,1
687,Stormy,18,795,0,3,15,0
688,None,22,1174,0,7,12,3
689,Stormy,18,711,0,2,15,1
690,Foggy,23,1170,0,2,19,2
691,None,19,1150,0,19,0,0
692,Foggy,23,1129,0,4,17,2
693,None,19,826,0,3,15,1
694,Foggy,24,1298,0,9,12,3
695,None,19,1157,0,6,11,2
696,Foggy,24,1007,0,3,21,0
697,None,20,762,0,3,17,0
698,Foggy,24,1024,0,5,18,1
699,None,20,1096,0,4,14,2
700,Rainy,16,713,0,6,10,0
701,None,21,1093,0,7,13,1
702,Rainy,16,692,0,2,13,1
703,None,21,1131,0,4,15,2
704,Rainy,17,972,0,4,11,2
705,None,21,950,0,4,15,2
706,Rainy,17,816,0,6,11,0
707,None,22,1305,0,9,12,1
708,Rainy,17,596,0,0,17,0
709,None,22,1057,0,1,20,1
710,Stormy,18,1159,0,5,9,4
711,Foggy,23,1073,0,5,17,1
712,Stormy,18,972,0,5,12,1
713,Foggy,23,1151,0,8,14,1
714,None,19,970,0,6,11,2
715,Foggy,23,1352,0,6,14,3
716,None,19,778,0,5,14,0
717,Foggy,24,1189,0,6,17,1
718,None,19,996,0,7,10,2
719,Foggy,24,1046,0,4,19,1
720,None,20,936,0,4,15,1
721,Foggy,16,863,0,9,6,1
722,None,20,794,0,1,19,0
723,Rainy,16,987,0,2,10,4
724,None,21,996,0,9,12,0
725,Rainy,16,744,0,4,12,0
726,None,21,919,0,4,16,1
727,Rainy,17,727,0,3,14,0
728,None,21,1154,0,6,12,3
729,Rainy,17,970,0,3,11,3
730,None,22,976,0,4,17,1
731,Stormy,18,923,0,4,13,1
732,None,22,1100,0,7,15,0
733,Stormy,18,867,0,3,14,1
734,Foggy,23,1055,0,4,16,3
735,Stormy,18,1080,0,4,10,4
736,Foggy,23,1332,0,7,14,2
737,None,19,903,0,2,17,0
738,Foggy,23,941,0,6,16,1
739,None,19,935,0,3,14,2
740,Foggy,24,1140,0,4,19,1
741,None,20,1199,0,9,10,1
742,Foggy,24,946,0,0,24,0
743,None,20,1050,0,4,13,3
744,Foggy,16,683,0,4,12,0
745,None,20,1035,0,6,13,1
746,Rainy,16,709,0,3,12,1
747,None,21,1138,0,4,15,2
748,Rainy,17,1072,0,8,6,3
749,None,21,977,0,3,17,1
750,Rainy,17,829,0,7,9,1
751,None,22,1069,0,8,14,0
752,Rainy,17,786,0,3,13,1
753,None,22,1079,0,4,17,1
754,Stormy,18,737,0,6,12,0
755,None,22,1139,0,4,16,2
756,Stormy,18,935,0,5,13,0
757,Foggy,23,1215,0,8,14,1
758,None,19,960,0,6,10,3
759,Foggy,23,1368,0,8,13,2
760,None,19,784,0,1,18,0
761,Foggy,24,1314,0,6,17,1
762,None,19,716,0,1,18,0
763,Foggy,24,1065,0,6,17,1
764,None,20,1046,0,9,9,2
765,Foggy,24,1075,0,7,17,0
766,None,20,816,0,5,15,0
767,Rainy,16,653,0,1,14,1
768,None,21,1134,0,4,14,3
